id,code,name,category,is_active,sort_order
717a3cee-57f5-446e-aded-be9ba1bcb3f1,BBA-101,Admin,Beban Biaya Admin,true,1
49051730-72ed-43b5-9600-a8df05224350,BBA-102,Pajak Bunga,Beban Biaya Admin,true,2
a56e57b2-8b25-4121-8b0e-467e2bf608ac,BBA-103,Bunga Bank,Beban Biaya Admin,true,3
cdef904d-906c-4353-bb37-f548ab6fa00d,BGO-101,Tumpeng,Beban General Opening,true,4
7044b446-f901-4327-95f4-17a1332f37b3,BGO-102,Nasi Box,Beban General Opening,true,5
5ca08d81-2826-449a-b9c7-75f7525a27f8,BGO-103,Ustad,Beban General Opening,true,6
1fde6a61-3db1-4dcc-a3f1-d6654e66dc3c,BGO-104,Pengajian,Beban General Opening,true,7
a5206c04-9aa3-4715-8da6-202555c5bfd1,BGO-105,Santunan,Beban General Opening,true,8
000a67c1-44de-442f-ab00-3fec590ed830,BLA-101,Listrik - Token,Beban Listrik dan Air,true,9
a52aff82-ad3e-4793-b538-31ca74f55faa,BLA-102,PDAM,Beban Listrik dan Air,true,10
cd91d7bd-24a7-4a17-a18d-6f302b753d1f,BMB-101,Jasa Maintenance,Beban Maintenance Bangunan,true,11
e5758ca6-a2ab-4a19-951f-4f9d9d6108cc,BMB-102,Material Maintenance,Beban Maintenance Bangunan,true,12
c91230bc-7846-4421-8492-0bb770f2e535,BMP-101,Maintenance Peralatan,Beban Maintenance Peralatan,true,13
a4357250-6713-4e14-8522-00f0a96b46b8,BOH-101,Es Batu,Beban Operasional Harian,true,14
8cbd95f1-1fdb-4fea-9a9f-e18973a29a6a,BOH-102,Gas 5Kg - Isi Ulang,Beban Operasional Harian,true,15
ac5f6738-bb19-494e-ba52-ad89b0ceb1f9,BOH-103,Gas 12Kg - Isi Ulang,Beban Operasional Harian,true,16
0ba9b224-623d-4228-a96b-b6c60343a35e,BOH-104,Galon - Isi Ulang,Beban Operasional Harian,true,17
305e8201-8fed-48e6-83d2-da79a4bf2935,BOH-105,Iuran Sampah,Beban Operasional Harian,true,18
e2d4156a-f46c-497a-8d2f-1704eb25c55b,BOH-106,Iuran Kebersihan / Tukang,Beban Operasional Harian,true,19
6a92db4e-eb56-4341-843c-a4e118bfbb50,BOH-107,Pewangi Ruangan,Beban Operasional Harian,true,20
43401bc5-8af4-4a23-be86-984e0f6c6438,BOH-108,Cairan atau Bubuk Pembersih,Beban Operasional Harian,true,21
90d03f71-2aaf-4d66-8104-7ca13e4d578f,BOH-109,Konsumsi General Cleaning,Beban Operasional Harian,true,22
26acc8ba-1a1a-4f66-b633-116cbf13a4e5,BOH-110,P3K,Beban Operasional Harian,true,23
89076e27-39c0-4428-bc8d-0e4f17c89b35,BOH-111,ATK,Beban Operasional Harian,true,24
3f61b736-a9ec-4a11-bf75-20c9cf59d6d5,BOH-112,Print Materi,Beban Operasional Harian,true,25
fbf7d6b9-e186-47e4-9496-f68d47839e05,BOH-113,Biaya Parkir,Beban Operasional Harian,true,26
cad42e02-d04f-437e-ba55-99af4bdf0ae1,BOH-114,Laundry,Beban Operasional Harian,true,27
bc13d881-8f3c-47d0-92ce-3aa6b1ffab2f,BOH-115,Refill Kertas Lem Lalat,Beban Operasional Harian,true,28
e3791579-362d-4e3c-be2b-81a3a8be79c9,BOH-116,Gaji OB,Beban Operasional Harian,true,29
8d4df628-7830-484c-bac0-e60eb40900e6,BOH-117,Plastik Klip,Beban Operasional Harian,true,30
73e44e3d-cd60-41c5-b593-fe0f7567f6ef,BOH-118,Subscribe Layanan Digital,Beban Operasional Harian,true,31
c9c689c9-fca5-4ff3-9110-a8c1f55c8272,PBB-101,Bagi Espresso,Beban Pembelian Bahan Baku,true,32
9f558191-2e5b-433c-a2fa-27769a221bea,PBB-102,Bagi Golden,Beban Pembelian Bahan Baku,true,33
d2aaaf56-820d-4fad-ad6b-c627e48b0dae,PBB-103,Bagi Rawon,Beban Pembelian Bahan Baku,true,34
3eb61273-98f7-4010-b18d-4cb81ea582df,PBB-104,Bagi Signature,Beban Pembelian Bahan Baku,true,35
0cf13493-c22c-464e-a21d-f28bdf795650,PBB-105,Bawang Bombay,Beban Pembelian Bahan Baku,true,36
c66f9773-7706-4291-a842-cbf7eba7d5f4,PBB-106,Bawang Merah,Beban Pembelian Bahan Baku,true,37
a2444c37-3ba4-4655-b658-4018e89ed1a8,PBB-107,Bawang Putih,Beban Pembelian Bahan Baku,true,38
f4cfd537-2d8c-4d81-a7a3-ae85ea519a9a,PBB-108,Beans Arabica Signature,Beban Pembelian Bahan Baku,true,39
cd47df0e-74f8-48c3-8557-2871267b971b,PBB-109,Biji Selasih,Beban Pembelian Bahan Baku,true,40
c8eb034c-000a-4df8-8e1f-373a891ae9fb,PBB-110,Biji Wijen,Beban Pembelian Bahan Baku,true,41
ef498403-4d5f-47d2-8de0-6751dc3c8359,PBB-111,Black Tea,Beban Pembelian Bahan Baku,true,42
ace4c307-94d7-4b6d-8dd1-5ce0117d28f3,PBB-112,Bon Cabe,Beban Pembelian Bahan Baku,true,43
447f1310-c4ed-4256-ab7f-5fc654c33f0b,PBB-113,Buah Lemon,Beban Pembelian Bahan Baku,true,44
5bbbc956-6df1-4c3b-917d-c16a0928100d,PBB-114,Buah Strawberry,Beban Pembelian Bahan Baku,true,45
9e68c550-f28e-41b7-8fa2-e65d3a460294,PBB-115,Cabai Merah Keriting,Beban Pembelian Bahan Baku,true,46
26b5ed31-6ce8-45ba-9f69-1f3c9f5b7838,PBB-116,Cabai Rawit Hijau,Beban Pembelian Bahan Baku,true,47
b3125758-e160-4483-a2ed-1ba97aa75f6d,PBB-117,Cabai Rawit Merah,Beban Pembelian Bahan Baku,true,48
05587c7a-e192-49b2-b34b-b81e38e91bc4,PBB-118,Caramel Sauce,Beban Pembelian Bahan Baku,true,49
459af5df-1ab2-4282-9156-d6c9fdaadbc0,PBB-119,Cleo Eco Green 400ML,Beban Pembelian Bahan Baku,true,50
8dfca8bc-5b35-4a3c-a9f0-fd7f39e32e9c,PBB-120,Mineral Water Small,Beban Pembelian Bahan Baku,true,51
83dd8b7f-cf8d-4b4e-99b3-4b2a58859b5b,PBB-121,Mineral Water Large,Beban Pembelian Bahan Baku,true,52
1c0bc98f-83c6-4ff9-98bc-a86d96c0cbbc,PBB-122,Creamer Gold,Beban Pembelian Bahan Baku,true,53
bdd1b48c-0cb9-46b3-842b-b2e4869f4b3e,PBB-123,Creamer Monalisa,Beban Pembelian Bahan Baku,true,54
c0c053de-bcc3-4977-8416-872e4456a163,PBB-124,Cuka,Beban Pembelian Bahan Baku,true,55
